time,state,new_state,total_cost_opt
9,"[10, 15, 0]","[10, 15, 5]",-1276.3866104450394
9,"[10, 15, 5]","[10, 15, 5]",-1277.324737033547
9,"[10, 15, 10]","[10, 15, 10]",-1278.5144584729853
9,"[10, 15, 15]","[10, 15, 15]",-1279.7041799124236
9,"[10, 15, 20]","[10, 15, 20]",-3013.556618020795
9,"[10, 20, 0]","[10, 20, 5]",-1276.3866104450394
9,"[10, 20, 5]","[10, 20, 5]",-1277.324737033547
9,"[10, 20, 10]","[10, 20, 10]",-1278.5144584729853
9,"[10, 20, 15]","[10, 20, 15]",-1279.7041799124236
9,"[10, 20, 20]","[10, 20, 20]",-3013.556618020795
9,"[15, 0, 0]","[15, 0, 5]",-1376.5911761695756
9,"[15, 0, 5]","[15, 0, 5]",-1377.5293027580833
9,"[15, 0, 10]","[15, 0, 10]",-1378.7190241975218
9,"[15, 0, 15]","[15, 0, 15]",-1379.90874563696
9,"[15, 0, 20]","[15, 0, 20]",-1381.0984670763983
9,"[15, 5, 0]","[15, 5, 5]",-1377.7808976090141
9,"[15, 5, 5]","[15, 5, 5]",-1378.7190241975218
9,"[15, 5, 10]","[15, 5, 10]",-1379.90874563696
9,"[15, 5, 15]","[15, 5, 15]",-1381.0984670763983
9,"[15, 5, 20]","[15, 5, 20]",-1382.2881885158365
9,"[15, 10, 0]","[15, 10, 5]",-1378.9706190484524
9,"[15, 10, 5]","[15, 10, 5]",-1379.90874563696
9,"[15, 10, 10]","[15, 10, 10]",-1381.0984670763983
9,"[15, 10, 15]","[15, 10, 15]",-1382.2881885158365
9,"[15, 10, 20]","[15, 10, 20]",-3116.2881885158367
9,"[15, 15, 0]","[15, 15, 5]",-1378.9706190484524
9,"[15, 15, 5]","[15, 15, 5]",-1379.90874563696
9,"[15, 15, 10]","[15, 15, 10]",-1381.0984670763983
9,"[15, 15, 15]","[15, 15, 15]",-1382.2881885158365
9,"[15, 15, 20]","[15, 15, 20]",-3116.2881885158367
9,"[15, 20, 0]","[15, 20, 5]",-1378.9706190484524
9,"[15, 20, 5]","[15, 20, 5]",-1379.90874563696
9,"[15, 20, 10]","[15, 20, 10]",-1381.0984670763983
9,"[15, 20, 15]","[15, 20, 15]",-1382.2881885158365
9,"[15, 20, 20]","[15, 20, 20]",-3116.2881885158367
9,"[20, 0, 0]","[20, 0, 5]",-1386.5801401874164
9,"[20, 0, 5]","[20, 0, 5]",-1387.518266775924
9,"[20, 0, 10]","[20, 0, 10]",-1388.7079882153625
9,"[20, 0, 15]","[20, 0, 15]",-1389.8977096548008
9,"[20, 0, 20]","[20, 0, 20]",-1391.087431094239
9,"[20, 5, 0]","[20, 5, 5]",-1387.769861626855
9,"[20, 5, 5]","[20, 5, 5]",-1388.7079882153625
9,"[20, 5, 10]","[20, 5, 10]",-1389.8977096548008
9,"[20, 5, 15]","[20, 5, 15]",-1391.087431094239
9,"[20, 5, 20]","[20, 5, 20]",-1392.2771525336773
9,"[20, 10, 0]","[20, 10, 5]",-1388.9595830662931
9,"[20, 10, 5]","[20, 10, 5]",-1389.8977096548008
9,"[20, 10, 10]","[20, 10, 10]",-1391.087431094239
9,"[20, 10, 15]","[20, 10, 15]",-1392.2771525336773
9,"[20, 10, 20]","[20, 10, 20]",-3126.2771525336775
9,"[20, 15, 0]","[20, 15, 5]",-1388.9595830662931
9,"[20, 15, 5]","[20, 15, 5]",-1389.8977096548008
9,"[20, 15, 10]","[20, 15, 10]",-1391.087431094239
9,"[20, 15, 15]","[20, 15, 15]",-1392.2771525336773
9,"[20, 15, 20]","[20, 15, 20]",-3126.2771525336775
9,"[20, 20, 0]","[20, 20, 5]",-1388.9595830662931
9,"[20, 20, 5]","[20, 20, 5]",-1389.8977096548008
9,"[20, 20, 10]","[20, 20, 10]",-1391.087431094239
9,"[20, 20, 15]","[20, 20, 15]",-1392.2771525336773
9,"[20, 20, 20]","[20, 20, 20]",-3126.2771525336775
10,"[0, 0, 0]","[10, 10, 10]",368.9306340870543
10,"[0, 0, 5]","[0, 10, 15]",-1069.6297150562166
10,"[0, 0, 10]","[0, 10, 15]",-1070.819436495655
10,"[0, 0, 15]","[0, 10, 15]",-1072.0091579350933
10,"[0, 0, 20]","[0, 5, 20]",-1073.0513174829032
10,"[0, 5, 0]","[10, 15, 10]",368.9306340870543
10,"[0, 5, 5]","[0, 10, 15]",-1070.819436495655
10,"[0, 5, 10]","[0, 10, 15]",-1072.0091579350933
10,"[0, 5, 15]","[0, 10, 15]",-1073.1988793745315
10,"[0, 5, 20]","[0, 5, 20]",-1074.2410389223414
10,"[0, 10, 0]","[10, 20, 10]",368.9306340870543
10,"[0, 10, 5]","[0, 10, 15]",-1072.0091579350933
10,"[0, 10, 10]","[0, 10, 15]",-1073.1988793745315
10,"[0, 10, 15]","[0, 10, 15]",-1074.3886008139698
10,"[0, 10, 20]","[0, 10, 20]",-2808.2410389223414
10,"[0, 15, 0]","[10, 20, 10]",367.74091264761597
10,"[0, 15, 5]","[0, 15, 15]",-1072.0091579350933
10,"[0, 15, 10]","[0, 15, 15]",-1073.1988793745315
10,"[0, 15, 15]","[0, 15, 15]",-1074.3886008139698
10,"[0, 15, 20]","[0, 15, 20]",-2808.2410389223414
10,"[0, 20, 0]","[10, 20, 10]",366.5511912081777
10,"[0, 20, 5]","[0, 20, 15]",-1072.0091579350933
10,"[0, 20, 10]","[0, 20, 15]",-1073.1988793745315
10,"[0, 20, 15]","[0, 20, 15]",-1074.3886008139698
10,"[0, 20, 20]","[0, 20, 20]",-2808.2410389223414
10,"[5, 0, 0]","[15, 10, 10]",358.8959050950034
10,"[5, 0, 5]","[5, 10, 15]",-1172.3612855512577
10,"[5, 0, 10]","[5, 10, 15]",-1173.5510069906961
10,"[5, 0, 15]","[5, 10, 15]",-1174.7407284301344
10,"[5, 0, 20]","[5, 5, 20]",-1175.635326086316
10,"[5, 5, 0]","[15, 15, 10]",358.8959050950034
10,"[5, 5, 5]","[5, 10, 15]",-1173.5510069906961
10,"[5, 5, 10]","[5, 10, 15]",-1174.7407284301344
10,"[5, 5, 15]","[5, 10, 15]",-1175.9304498695726
10,"[5, 5, 20]","[5, 5, 20]",-1176.8250475257541
10,"[5, 10, 0]","[15, 20, 10]",358.8959050950034
10,"[5, 10, 5]","[5, 10, 15]",-1174.7407284301344
10,"[5, 10, 10]","[5, 10, 15]",-1175.9304498695726
10,"[5, 10, 15]","[5, 10, 15]",-1177.1201713090109
10,"[5, 10, 20]","[5, 10, 20]",-2910.825047525754
10,"[5, 15, 0]","[15, 20, 10]",357.7061836555651
10,"[5, 15, 5]","[5, 15, 15]",-1174.7407284301344
10,"[5, 15, 10]","[5, 15, 15]",-1175.9304498695726
10,"[5, 15, 15]","[5, 15, 15]",-1177.1201713090109
10,"[5, 15, 20]","[5, 15, 20]",-2910.825047525754
10,"[5, 20, 0]","[15, 20, 10]",356.51646221612685
10,"[5, 20, 5]","[5, 20, 15]",-1174.7407284301344
10,"[5, 20, 10]","[5, 20, 15]",-1175.9304498695726
10,"[5, 20, 15]","[5, 20, 15]",-1177.1201713090109
10,"[5, 20, 20]","[5, 20, 20]",-2910.825047525754
10,"[10, 0, 0]","[20, 10, 10]",348.8611761029524
10,"[10, 0, 5]","[10, 10, 15]",-1274.9452941546704
10,"[10, 0, 10]","[10, 10, 15]",-1276.1350155941088
10,"[10, 0, 15]","[10, 10, 15]",-1277.324737033547
10,"[10, 0, 20]","[10, 5, 20]",-1278.366896581357
10,"[10, 5, 0]","[20, 15, 10]",348.8611761029524
10,"[10, 5, 5]","[10, 10, 15]",-1276.1350155941088
10,"[10, 5, 10]","[10, 10, 15]",-1277.324737033547
10,"[10, 5, 15]","[10, 10, 15]",-1278.5144584729853
10,"[10, 5, 20]","[10, 5, 20]",-1279.5566180207952
10,"[10, 10, 0]","[20, 20, 10]",348.8611761029524
10,"[10, 10, 5]","[10, 10, 15]",-1277.324737033547
10,"[10, 10, 10]","[10, 10, 15]",-1278.5144584729853
10,"[10, 10, 15]","[10, 10, 15]",-1279.7041799124236
10,"[10, 10, 20]","[10, 10, 20]",-3013.556618020795
10,"[10, 15, 0]","[20, 20, 10]",347.6714546635141
10,"[10, 15, 5]","[10, 15, 15]",-1277.324737033547
10,"[10, 15, 10]","[10, 15, 15]",-1278.5144584729853
10,"[10, 15, 15]","[10, 15, 15]",-1279.7041799124236
