E_given,P_C,Trip,obj
"[10, 20, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 20, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 30, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 30, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 40, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 70]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 80]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 90]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 40, 100]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 0]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; 0.0 0.0],0.0
"[10, 50, 10]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 20]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 30]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 40]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 50]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
"[10, 50, 60]","[0.0, 0.0, 0.0]",[0.0 1.0; 1.0 -0.0; -0.0 -0.0],0.0
