state,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
"[20, 10, 5]",-8740.815264151797,-7570.285250178769,-6670.349095145748,-4896.0,-4080.0,-4080.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[20, 10, 10]",-9258.611448113848,-8242.856833452513,-7914.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 10, 15]",-9776.407632075898,-9466.856833452513,-7914.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 10, 20]",-9776.407632075898,-9466.856833452513,-7914.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 15, 0]",-8034.611448113848,-7570.285250178769,-6670.349095145749,-5712.0,-5100.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[20, 15, 5]",-9258.611448113848,-8242.856833452513,-7506.899396763833,-5916.0,-5100.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[20, 15, 10]",-9776.407632075898,-8915.428416726256,-8751.449698381917,-7548.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 15, 15]",-10294.203816037949,-10139.428416726256,-8751.449698381917,-7548.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 15, 20]",-10294.203816037949,-10139.428416726256,-8751.449698381917,-7548.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 20, 0]",-8552.407632075898,-8242.856833452513,-7506.899396763833,-6732.0,-6120.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[20, 20, 5]",-9776.407632075898,-8915.428416726256,-8343.449698381917,-6936.0,-6120.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[20, 20, 10]",-10294.203816037949,-9588.0,-9588.0,-8568.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 20, 15]",-10812.0,-10812.0,-9588.0,-8568.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[20, 20, 20]",-10812.0,-10812.0,-9588.0,-8568.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
